id,notice_type,severity,reason_code,created_at,effective_from,summary,confidence,supplier_name,component_name,product_id,order_id,expected_impact,source_ref
SN-立讯精密_LUXSHARE,quality_alert,high,yield_drop,2024-05-25 09:44:00,2024-05-25 15:44:00,立讯精密 (Luxshare) 对组件 硅晶圆 发出 quality_alert 预警，关联订单 ORD-2024-102836,0.82,立讯精密 (Luxshare),硅晶圆,SKU-AE-C01,ORD-2024-102836,平均次品率 0.0059，平均额外物流天数 1.0 天，风险订单 267 个,SRC-SN-立讯精密_LUXSHARE
SN-长江存储_YMTC,quality_alert,high,yield_drop,2023-10-14 14:35:00,2023-10-14 20:35:00,长江存储 (YMTC) 对组件 OLED柔性屏 发出 quality_alert 预警，关联订单 ORD-2024-102878,0.82,长江存储 (YMTC),OLED柔性屏,SKU-AE-C01,ORD-2024-102878,平均次品率 0.0064，平均额外物流天数 1.0 天，风险订单 245 个,SRC-SN-长江存储_YMTC
SN-华为海思_HISILICON,quality_alert,high,yield_drop,2023-11-01 16:14:00,2023-11-01 22:14:00,华为海思 (HiSilicon) 对组件 硅晶圆 发出 quality_alert 预警，关联订单 ORD-2024-102166,0.82,华为海思 (HiSilicon),硅晶圆,SKU-ST-M01,ORD-2024-102166,平均次品率 0.0062，平均额外物流天数 0.9 天，风险订单 233 个,SRC-SN-华为海思_HISILICON
SN-比亚迪半导体_BYD,quality_alert,high,yield_drop,2023-06-05 14:13:00,2023-06-05 20:13:00,比亚迪半导体 (BYD) 对组件 闪存颗粒 发出 quality_alert 预警，关联订单 ORD-2024-102928,0.82,比亚迪半导体 (BYD),闪存颗粒,SKU-ST-M01,ORD-2024-102928,平均次品率 0.0061，平均额外物流天数 1.0 天，风险订单 253 个,SRC-SN-比亚迪半导体_BYD
SN-闻泰科技_WINGTECH,quality_alert,high,yield_drop,2023-10-25 18:11:00,2023-10-26 00:11:00,闻泰科技 (Wingtech) 对组件 主控芯片 发出 quality_alert 预警，关联订单 ORD-2024-102868,0.82,闻泰科技 (Wingtech),主控芯片,SKU-AE-M01,ORD-2024-102868,平均次品率 0.0062，平均额外物流天数 0.9 天，风险订单 253 个,SRC-SN-闻泰科技_WINGTECH
SN-中芯国际_SMIC,quality_alert,high,yield_drop,2023-11-24 15:12:00,2023-11-24 21:12:00,中芯国际 (SMIC) 对组件 光学镜头 发出 quality_alert 预警，关联订单 ORD-2024-100263,0.82,中芯国际 (SMIC),光学镜头,SKU-AE-M01,ORD-2024-100263,平均次品率 0.0065，平均额外物流天数 0.8 天，风险订单 237 个,SRC-SN-中芯国际_SMIC
SN-紫光展锐_UNISOC,quality_alert,high,yield_drop,2024-10-08 09:42:00,2024-10-08 15:42:00,紫光展锐 (UNISOC) 对组件 PCB印刷电路板 发出 quality_alert 预警，关联订单 ORD-2024-102665,0.82,紫光展锐 (UNISOC),PCB印刷电路板,SKU-WE-W01,ORD-2024-102665,平均次品率 0.0062，平均额外物流天数 0.9 天，风险订单 227 个,SRC-SN-紫光展锐_UNISOC
SN-歌尔股份_GOERTEK,quality_alert,high,yield_drop,2023-07-20 06:38:00,2023-07-20 12:38:00,歌尔股份 (Goertek) 对组件 光学镜头 发出 quality_alert 预警，关联订单 ORD-2024-100703,0.82,歌尔股份 (Goertek),光学镜头,SKU-WE-V01,ORD-2024-100703,平均次品率 0.0064，平均额外物流天数 0.9 天，风险订单 242 个,SRC-SN-歌尔股份_GOERTEK
SN-京东方_BOE,quality_alert,high,yield_drop,2023-08-04 04:34:00,2023-08-04 10:34:00,京东方 (BOE) 对组件 闪存颗粒 发出 quality_alert 预警，关联订单 ORD-2024-101016,0.82,京东方 (BOE),闪存颗粒,SKU-AE-C01,ORD-2024-101016,平均次品率 0.0061，平均额外物流天数 1.0 天，风险订单 218 个,SRC-SN-京东方_BOE
SN-韦尔股份_WILLSEMI,quality_alert,high,yield_drop,2023-10-31 01:13:00,2023-10-31 07:13:00,韦尔股份 (Willsemi) 对组件 聚合物锂电池 发出 quality_alert 预警，关联订单 ORD-2024-100381,0.82,韦尔股份 (Willsemi),聚合物锂电池,SKU-CE-P01,ORD-2024-100381,平均次品率 0.0058，平均额外物流天数 0.9 天，风险订单 222 个,SRC-SN-韦尔股份_WILLSEMI
SN-北方华创_NAURA,quality_alert,high,yield_drop,2023-08-16 23:53:00,2023-08-17 05:53:00,北方华创 (NAURA) 对组件 CMOS图像传感器 发出 quality_alert 预警，关联订单 ORD-2024-101948,0.82,北方华创 (NAURA),CMOS图像传感器,SKU-AE-C01,ORD-2024-101948,平均次品率 0.0061，平均额外物流天数 1.0 天，风险订单 240 个,SRC-SN-北方华创_NAURA
